iter	Logloss
0	0.6507449443
1	0.6129530989
2	0.5715976269
3	0.537375748
4	0.5077597685
5	0.4765881288
6	0.447882545
7	0.4206120494
8	0.3966189671
9	0.3745171048
10	0.3572347099
11	0.3441439359
12	0.3299982032
13	0.3153125581
14	0.3021692142
15	0.2909327285
16	0.2805001405
17	0.2714101148
18	0.2634430553
19	0.2554710529
20	0.2480977812
21	0.2410445484
22	0.2341654426
23	0.227916138
24	0.2223387449
25	0.2171671101
26	0.2131671644
27	0.2088831633
28	0.2043873753
29	0.2002354644
30	0.1967065207
31	0.1938774683
32	0.1906885262
33	0.1876986235
34	0.1852296258
35	0.182773657
36	0.1804550151
37	0.1788053921
38	0.1766951235
39	0.1752079058
40	0.1737951811
41	0.172494207
42	0.1707794241
43	0.1694675861
44	0.1681181545
45	0.1667275399
46	0.1653806981
47	0.164503406
48	0.1633320432
49	0.1618578477
50	0.1607103006
51	0.1598872947
52	0.1587158862
53	0.1581245403
54	0.1574379985
55	0.1567955403
56	0.1557716733
57	0.1552869104
58	0.1546872008
59	0.1539614022
60	0.1533532446
61	0.1527724489
62	0.1521839911
63	0.1514730535
64	0.1510502552
65	0.1504320357
66	0.1497786118
67	0.1491710521
68	0.1487029293
69	0.1482268352
70	0.1477431376
71	0.1474467644
72	0.1470576646
73	0.1466883108
74	0.146364393
75	0.1459602819
76	0.1455701611
77	0.1451392003
78	0.1448214009
79	0.1444731021
80	0.1440953149
81	0.143692305
82	0.1432972853
83	0.1429357237
84	0.1426153206
85	0.1423637776
86	0.1418025567
87	0.1415547247
88	0.1413253067
89	0.1410951078
90	0.1409135821
91	0.1405896654
92	0.1403444923
93	0.1401524335
94	0.1399315456
95	0.1396334844
96	0.1394757523
97	0.1392302289
98	0.1389573334
99	0.1386241694
100	0.1384423212
101	0.1381803143
102	0.1379619731
103	0.1377214299
104	0.1374755591
105	0.1372117886
106	0.1368846076
107	0.1367033333
108	0.1365075216
109	0.1362637436
110	0.1360545446
111	0.1357781065
112	0.1355033195
113	0.1352961276
114	0.1350453978
115	0.1348425584
116	0.1346600722
117	0.1344466067
118	0.134201663
119	0.1340079572
120	0.1338147295
121	0.1335521267
122	0.1333373487
123	0.1331883193
124	0.1329898062
125	0.1326889459
126	0.1324637176
127	0.1322760309
128	0.1321527129
129	0.1319664318
130	0.1317929833
131	0.1315976446
132	0.1313944483
133	0.1312472276
134	0.1310448086
135	0.130879843
136	0.1307294409
137	0.1305857163
138	0.1303721342
139	0.1302822952
140	0.12995591
141	0.1297812521
142	0.1295859975
143	0.1293958782
144	0.1291579365
145	0.1289552335
146	0.1289427318
147	0.128774942
148	0.1285879684
149	0.1284011209
150	0.1282642898
151	0.1280924729
