iter	Passed	Remaining
0	2	2664
1	5	2803
2	8	2954
3	12	3171
4	16	3291
5	20	3341
6	23	3394
7	43	5394
8	47	5191
9	51	5054
10	55	4966
11	59	4919
12	63	4798
13	67	4736
14	71	4666
15	74	4580
16	77	4508
17	81	4444
18	85	4393
19	89	4385
20	93	4354
21	96	4304
22	100	4275
23	104	4235
24	107	4190
25	111	4177
26	115	4153
27	118	4129
28	122	4110
29	126	4075
30	129	4058
31	133	4028
32	136	3999
33	139	3970
34	143	3957
35	146	3931
36	150	3913
37	153	3888
38	156	3867
39	160	3855
40	163	3833
41	166	3794
42	169	3768
43	172	3744
44	175	3722
45	178	3704
46	182	3691
47	185	3670
48	187	3647
49	191	3631
50	194	3623
51	197	3606
52	201	3601
53	204	3585
54	207	3572
55	211	3562
56	214	3548
57	217	3538
58	221	3530
59	224	3514
60	227	3496
61	230	3482
62	233	3466
63	236	3455
64	239	3446
65	242	3437
66	246	3426
67	250	3428
68	253	3425
69	257	3421
70	261	3415
71	264	3407
72	267	3395
73	271	3392
74	274	3385
75	277	3374
76	280	3365
77	283	3352
78	286	3340
79	289	3330
80	292	3318
81	295	3306
82	298	3301
83	302	3295
84	305	3289
85	309	3286
86	312	3278
87	315	3270
88	319	3268
89	322	3260
90	325	3249
91	328	3240
92	331	3229
93	333	3218
94	337	3213
95	340	3207
96	344	3205
97	347	3201
98	350	3193
99	353	3185
100	357	3178
101	360	3171
102	363	3162
103	366	3154
104	369	3146
105	372	3139
106	375	3133
107	378	3124
108	381	3117
109	384	3107
110	387	3101
111	390	3097
112	393	3090
113	397	3086
114	400	3080
115	404	3079
116	407	3072
117	410	3067
118	413	3059
119	416	3053
120	419	3047
121	422	3039
122	425	3032
123	428	3024
124	431	3019
125	434	3013
126	437	3009
127	440	3003
128	444	3001
129	447	2997
130	451	2994
131	454	2989
132	457	2984
133	460	2976
134	463	2969
135	466	2965
136	469	2960
137	473	2955
138	476	2950
139	479	2944
140	482	2938
141	485	2932
142	488	2925
143	491	2922
144	495	2919
145	498	2915
146	500	2901
147	503	2896
148	506	2893
149	509	2887
150	512	2881
151	515	2877
152	518	2871
153	521	2865
154	524	2860
155	527	2853
156	530	2848
157	533	2843
158	536	2838
159	539	2834
160	543	2829
161	546	2824
162	549	2820
163	552	2818
164	556	2813
165	559	2809
166	562	2807
167	566	2803
168	569	2800
169	572	2796
170	575	2791
171	578	2786
172	582	2782
173	585	2777
174	588	2773
175	591	2771
176	595	2767
177	598	2764
178	602	2762
179	605	2758
180	609	2756
181	612	2754
182	616	2753
183	620	2752
184	623	2748
185	627	2745
186	630	2741
187	634	2739
188	637	2736
189	641	2735
190	645	2732
191	648	2729
192	651	2726
193	655	2722
194	658	2718
195	661	2714
196	665	2711
197	668	2707
198	671	2701
199	674	2697
200	677	2691
201	679	2686
202	683	2682
203	686	2677
204	689	2674
205	693	2672
206	696	2668
